subgroups,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년
일간신문,"2,789,823","3,007,284","2,884,955","2,767,897","2,701,173","2,793,819","2,799,329","2,940,826","2,962,982","3,000,852"
주간신문,"536,498","425,880","377,148","379,313","354,629","382,578","399,645","331,743","348,967","401,955"
방송,"4,193,139","4,621,734","4,859,120","4,883,305","5,063,491","5,338,942","5,340,862","5,172,379","5,399,982","4,961,710"
인터넷신문,"402,259","565,547","476,638","395,865","442,086","486,821","452,414","496,890","495,712","562,309"
통신,0,0,0,"192,690","205,233","218,916","210,010","249,090","321,732","291,959"
